name,education_level,years_experience,skills,certifications,job_role_applied,university_tier,known_languages,location,shortlisted
Candidate_37,Bachelor's,7.5,"Pandas, SQL, Matplotlib, Seaborn, Django, Machine Learning",3,ML Engineer,Tier 2,"Telugu, Hindi, English",Chennai,1
Candidate_38,Master's,7.1,"Seaborn, Django, Node.js, C++, Matplotlib",3,Data Scientist,Tier 3,Telugu,Mumbai,0
Candidate_39,Bachelor's,4.9,"Node.js, Spark, Matplotlib, Seaborn, Deep Learning",2,ML Engineer,Tier 3,Hindi,Hyderabad,0
Candidate_40,Master's,3.9,"AWS, Matplotlib, Node.js, TensorFlow, Seaborn, Java",2,ML Engineer,Tier 2,"English, Hindi, Telugu",Bangalore,0
Candidate_41,PhD,1.1,"Pandas, React, Flask",0,ML Engineer,Tier 2,"Tamil, English",Delhi,0
Candidate_42,Bachelor's,3.5,"JavaScript, TensorFlow, Matplotlib, Keras",4,Frontend Developer,Tier 2,"English, Kannada",Pune,0
Candidate_43,Master's,7.3,"Node.js, Machine Learning, AWS, TensorFlow, React, Spark",2,Data Analyst,Tier 3,"English, Kannada",Pune,0
Candidate_44,Bachelor's,9.6,"SQL, Java, Spark, Flask",1,Data Scientist,Tier 2,Kannada,Pune,0
Candidate_45,PhD,4.0,"SQL, Django, Flask, NumPy, Node.js, C++",1,Frontend Developer,Tier 3,"Tamil, English, Telugu",Hyderabad,0
Candidate_46,PhD,9.1,"Machine Learning, Django, React, Deep Learning, C++, NumPy",1,Frontend Developer,Tier 1,Telugu,Mumbai,1
Candidate_47,Master's,0.2,"C++, React, Python, NLP, NumPy",4,Data Scientist,Tier 1,"English, Kannada",Bangalore,0
Candidate_48,PhD,6.8,"Django, Matplotlib, Spark, React, JavaScript",0,Data Scientist,Tier 3,"Telugu, Kannada",Pune,0
Candidate_49,Master's,9.9,"NumPy, Flask, NLP, Pandas, Python",2,Frontend Developer,Tier 3,"Kannada, Telugu, English",Chennai,1
Candidate_50,PhD,5.2,"JavaScript, Keras, Django",5,Backend Developer,Tier 1,Kannada,Pune,0
Candidate_51,PhD,9.7,"Node.js, C++, AWS, TensorFlow, SQL",2,Data Analyst,Tier 2,"Hindi, Tamil, Telugu",Chennai,1
Candidate_52,Master's,3.9,"Flask, Machine Learning, Node.js, Java, Deep Learning, Keras",4,Data Scientist,Tier 2,"Tamil, Kannada, English",Bangalore,0
Candidate_53,Master's,9.3,"Pandas, JavaScript, Matplotlib, Machine Learning",4,Data Analyst,Tier 2,"Tamil, English",Chennai,0
Candidate_54,Bachelor's,4.5,"Machine Learning, Spark, SQL, Java",3,Frontend Developer,Tier 2,"English, Kannada, Hindi",Hyderabad,0
Candidate_55,Master's,8.8,"C++, Flask, JavaScript, Node.js",3,Data Analyst,Tier 2,English,Mumbai,1
Candidate_56,Master's,2.5,"Keras, TensorFlow, SQL, Flask, Machine Learning, NumPy",2,Backend Developer,Tier 3,"Kannada, Hindi",Pune,0
Candidate_57,Bachelor's,2.5,"Seaborn, Node.js, Machine Learning, AWS, C++, JavaScript",4,ML Engineer,Tier 2,"English, Hindi",Delhi,0
Candidate_58,Master's,6.9,"Pandas, NLP, Keras, AWS, Seaborn",3,ML Engineer,Tier 3,Telugu,Bangalore,0
Candidate_59,Bachelor's,6.2,"Django, Spark, Matplotlib, NLP, JavaScript",4,Data Analyst,Tier 2,Telugu,Hyderabad,1
Candidate_60,Master's,6.7,"Matplotlib, Pandas, Java, C++, Seaborn, JavaScript",5,Data Scientist,Tier 1,"Kannada, Telugu",Pune,0
Candidate_61,Master's,8.6,"Spark, Matplotlib, Java",5,Backend Developer,Tier 3,"Telugu, Hindi, English",Pune,0
Candidate_62,PhD,8.5,"Machine Learning, Python, NumPy, Node.js, SQL",0,Data Scientist,Tier 1,"English, Hindi, Kannada",Bangalore,0
Candidate_63,Master's,0.2,"TensorFlow, Java, SQL, Machine Learning, AWS, Django",1,Backend Developer,Tier 3,"Kannada, Telugu",Pune,1
Candidate_64,PhD,1.2,"Python, React, JavaScript, Django",1,Data Analyst,Tier 3,Telugu,Mumbai,1
Candidate_65,Master's,2.9,"Spark, NumPy, NLP",5,Frontend Developer,Tier 3,Telugu,Mumbai,0
Candidate_66,Master's,1.5,"Pandas, SQL, TensorFlow, Python, Machine Learning",0,Data Analyst,Tier 2,Telugu,Pune,0
Candidate_67,Master's,2.8,"NLP, Matplotlib, Spark, Node.js",2,Data Analyst,Tier 1,Hindi,Chennai,0
Candidate_68,PhD,7.2,"Pandas, JavaScript, Flask, Machine Learning, TensorFlow",0,ML Engineer,Tier 2,"Hindi, Tamil, English",Pune,0
Candidate_69,Master's,5.9,"Spark, TensorFlow, C++, Java, Python",5,Backend Developer,Tier 3,Telugu,Pune,0
Candidate_70,Master's,3.2,"Django, SQL, React, TensorFlow",3,Data Scientist,Tier 2,English,Pune,0
Candidate_71,Bachelor's,4.4,"AWS, Python, React, Deep Learning, SQL",5,ML Engineer,Tier 3,"Kannada, Hindi, English",Chennai,0
Candidate_72,Master's,4.4,"Django, Node.js, React, Keras, Spark",0,Data Analyst,Tier 3,Hindi,Bangalore,0
Candidate_73,Bachelor's,8.9,"Keras, Spark, Seaborn, C++, Deep Learning",1,Data Analyst,Tier 1,"Telugu, Tamil, Hindi",Delhi,0
Candidate_74,PhD,8.5,"Pandas, Keras, TensorFlow",0,Data Analyst,Tier 3,"English, Kannada",Mumbai,0
Candidate_75,Bachelor's,0.5,"Python, Django, Machine Learning, Flask, TensorFlow",5,Frontend Developer,Tier 1,"English, Hindi",Delhi,0
Candidate_76,PhD,5.0,"AWS, Java, Seaborn, SQL, NumPy, Pandas",2,Data Scientist,Tier 2,"Hindi, Tamil",Bangalore,0
Candidate_77,Bachelor's,2.0,"Java, Django, NumPy, C++, AWS",2,Data Scientist,Tier 3,"Kannada, English, Tamil",Mumbai,1
Candidate_78,Bachelor's,2.7,"SQL, Java, NumPy",4,Backend Developer,Tier 2,"Tamil, Hindi",Bangalore,0
Candidate_79,Bachelor's,0.3,"Seaborn, TensorFlow, Python, NumPy",0,ML Engineer,Tier 3,Telugu,Pune,1
Candidate_80,Master's,5.5,"Pandas, SQL, NLP",2,Backend Developer,Tier 1,Hindi,Bangalore,0
Candidate_81,PhD,0.1,"Seaborn, Spark, Java, Python, Django, Keras",0,Data Scientist,Tier 2,Tamil,Bangalore,0
Candidate_82,Master's,3.5,"Machine Learning, JavaScript, TensorFlow, NumPy",5,Data Scientist,Tier 1,"Kannada, Hindi",Mumbai,0
Candidate_83,PhD,7.4,"Django, Pandas, Machine Learning, NLP, Seaborn",5,Backend Developer,Tier 2,"Kannada, English",Bangalore,0
Candidate_84,Master's,9.0,"Flask, C++, Node.js, JavaScript, Django, Matplotlib",5,Data Analyst,Tier 2,"Hindi, English, Telugu",Pune,0
Candidate_85,Master's,6.5,"SQL, Python, NumPy, Java, Flask, JavaScript",4,ML Engineer,Tier 1,Tamil,Delhi,0
Candidate_86,Master's,5.0,"TensorFlow, Pandas, Java, Django, Node.js, NumPy",1,ML Engineer,Tier 3,"English, Tamil",Bangalore,0
Candidate_87,PhD,7.5,"Flask, Spark, Node.js, Python, Deep Learning",5,Data Analyst,Tier 2,"English, Kannada, Tamil",Mumbai,0
Candidate_88,PhD,9.3,"Seaborn, Pandas, Keras, Matplotlib, Flask",1,ML Engineer,Tier 1,English,Chennai,0
Candidate_89,PhD,9.5,"Django, Seaborn, Machine Learning",2,Data Analyst,Tier 3,"Tamil, Kannada",Pune,0
Candidate_90,Master's,7.8,"SQL, Machine Learning, Deep Learning",2,Backend Developer,Tier 1,"English, Telugu",Bangalore,0
Candidate_91,Master's,4.8,"Keras, Java, C++, Flask",4,Data Analyst,Tier 1,"Hindi, Tamil",Chennai,0
Candidate_92,Master's,8.7,"Django, React, JavaScript, Java",1,Data Scientist,Tier 1,"Kannada, Telugu, Tamil",Chennai,0
Candidate_93,Bachelor's,5.5,"Java, Flask, Spark, Python",5,Frontend Developer,Tier 1,"Hindi, Tamil, English",Bangalore,0
Candidate_94,PhD,4.4,"Django, Node.js, Deep Learning",4,Frontend Developer,Tier 3,"English, Telugu",Chennai,1
Candidate_95,Bachelor's,0.2,"Deep Learning, Keras, NLP, NumPy, Machine Learning",4,Data Scientist,Tier 1,"Hindi, English",Bangalore,0
Candidate_96,PhD,2.1,"Matplotlib, AWS, NLP, Node.js, TensorFlow",4,Data Scientist,Tier 1,"English, Kannada",Hyderabad,0
Candidate_97,PhD,5.0,"Seaborn, SQL, Matplotlib, Java, NumPy, Deep Learning",4,Data Analyst,Tier 2,Kannada,Chennai,0
Candidate_98,Bachelor's,3.3,"Django, Pandas, Deep Learning, SQL, AWS",3,ML Engineer,Tier 2,"Kannada, English, Hindi",Pune,0
Candidate_99,Master's,6.1,"Keras, Django, JavaScript, Spark, AWS, Deep Learning",4,Backend Developer,Tier 2,"Tamil, English",Bangalore,0
Candidate_100,Master's,4.2,"Spark, NumPy, Node.js, React",3,Data Scientist,Tier 2,"Kannada, Telugu",Pune,0
Candidate_101,Bachelor's,1.3,"Keras, Python, React",0,Backend Developer,Tier 3,"Telugu, Tamil",Hyderabad,0
Candidate_102,Master's,7.0,"Machine Learning, SQL, Deep Learning, Seaborn",4,Data Analyst,Tier 3,English,Pune,0
Candidate_103,Master's,9.5,"Pandas, Keras, Machine Learning, NumPy, JavaScript, NLP",1,Data Analyst,Tier 3,Hindi,Bangalore,1
Candidate_104,PhD,5.9,"TensorFlow, Deep Learning, Pandas, React, Flask, AWS",0,Backend Developer,Tier 2,Kannada,Delhi,0
Candidate_105,PhD,5.8,"Machine Learning, Deep Learning, TensorFlow, Spark, React, C++",0,Backend Developer,Tier 2,"Kannada, Tamil, English",Chennai,0
Candidate_106,Master's,1.7,"Flask, NumPy, Pandas, Django, React",2,Frontend Developer,Tier 1,Tamil,Hyderabad,1
Candidate_107,Bachelor's,2.1,"Python, Java, Seaborn, Node.js",0,ML Engineer,Tier 1,"Hindi, Tamil",Delhi,1
Candidate_108,Master's,7.3,"Pandas, Machine Learning, SQL, Seaborn",3,ML Engineer,Tier 1,Tamil,Pune,0
Candidate_109,PhD,1.2,"C++, Django, AWS, Deep Learning, React",4,Frontend Developer,Tier 3,"Kannada, English, Tamil",Pune,0
Candidate_110,Master's,8.9,"Keras, SQL, Matplotlib",2,Backend Developer,Tier 3,"English, Kannada, Telugu",Hyderabad,1
Candidate_111,PhD,3.8,"Node.js, Flask, NumPy, JavaScript",3,Backend Developer,Tier 2,Hindi,Pune,1
Candidate_112,Bachelor's,9.5,"Python, Keras, C++, NumPy",4,Data Analyst,Tier 1,Telugu,Pune,0
Candidate_113,Master's,6.1,"NLP, NumPy, Matplotlib, React",2,Backend Developer,Tier 3,"Telugu, Kannada",Delhi,1
Candidate_114,Master's,5.4,"SQL, Django, AWS, Machine Learning, Keras",3,Frontend Developer,Tier 2,Hindi,Mumbai,0
Candidate_115,Master's,6.6,"TensorFlow, JavaScript, NumPy, Seaborn, Keras",5,Backend Developer,Tier 2,"Hindi, Telugu, English",Delhi,0
Candidate_116,Master's,2.6,"Keras, TensorFlow, Pandas, AWS, Spark",2,Data Scientist,Tier 3,Tamil,Pune,0
Candidate_117,Bachelor's,3.1,"Django, Spark, React, Node.js, SQL, Machine Learning",4,Frontend Developer,Tier 3,English,Mumbai,0
Candidate_118,Bachelor's,7.8,"NLP, Seaborn, C++, Java, Node.js",2,Data Analyst,Tier 1,"Telugu, Hindi, Kannada",Hyderabad,0
Candidate_119,Master's,3.3,"Seaborn, Django, Python, Java",0,Data Analyst,Tier 2,"English, Hindi",Chennai,0
Candidate_120,Master's,0.2,"Java, Flask, SQL, TensorFlow",5,ML Engineer,Tier 3,"English, Kannada",Bangalore,0
Candidate_121,PhD,7.2,"Python, AWS, Seaborn, JavaScript, SQL, NLP",4,ML Engineer,Tier 3,"Tamil, Telugu",Delhi,0
Candidate_122,PhD,0.2,"Pandas, Node.js, SQL, Flask, NumPy",3,Frontend Developer,Tier 1,"Kannada, Tamil",Mumbai,0
Candidate_123,Master's,9.1,"TensorFlow, Python, NumPy, AWS",2,Data Analyst,Tier 2,Kannada,Bangalore,1
Candidate_124,Master's,7.7,"NLP, NumPy, SQL, Machine Learning, Deep Learning, C++",5,Data Scientist,Tier 1,Telugu,Delhi,0
Candidate_125,Bachelor's,0.8,"AWS, NumPy, Matplotlib, Django, Java, TensorFlow",3,Frontend Developer,Tier 3,"Hindi, English",Chennai,0
Candidate_126,PhD,5.7,"Python, Flask, Node.js, NumPy, Matplotlib, React",5,Backend Developer,Tier 3,"Kannada, English",Bangalore,0
Candidate_127,Master's,7.0,"JavaScript, Python, React, Matplotlib, SQL, C++",1,ML Engineer,Tier 1,Telugu,Mumbai,1
Candidate_128,Bachelor's,6.3,"JavaScript, Seaborn, Keras, TensorFlow, Python, AWS",0,ML Engineer,Tier 3,"Tamil, Kannada, Telugu",Chennai,1
Candidate_129,PhD,6.5,"Machine Learning, Matplotlib, Node.js, NLP",4,Data Analyst,Tier 2,Tamil,Pune,0
Candidate_130,PhD,10.0,"React, Matplotlib, NumPy, Python",2,ML Engineer,Tier 2,English,Chennai,0
Candidate_131,PhD,1.9,"Seaborn, Pandas, Deep Learning",0,Data Scientist,Tier 3,English,Chennai,0
Candidate_132,PhD,5.6,"NLP, Python, Node.js, Flask",2,ML Engineer,Tier 2,"Kannada, Telugu",Chennai,0
Candidate_133,PhD,5.4,"C++, Spark, JavaScript, SQL",5,Backend Developer,Tier 2,"English, Hindi, Tamil",Delhi,0
Candidate_134,PhD,7.7,"Spark, AWS, Flask, NumPy, Node.js",1,Data Scientist,Tier 1,Kannada,Hyderabad,1
Candidate_135,Bachelor's,1.6,"Deep Learning, C++, Java",1,Data Analyst,Tier 2,"Telugu, Tamil, Hindi",Delhi,1
Candidate_136,Bachelor's,2.4,"TensorFlow, AWS, NumPy, NLP, Machine Learning, Keras",4,Frontend Developer,Tier 3,Hindi,Pune,0
Candidate_137,Master's,7.1,"Seaborn, Pandas, NumPy, Flask, SQL, Matplotlib",3,Frontend Developer,Tier 2,"Tamil, Telugu",Hyderabad,0
Candidate_138,PhD,5.6,"TensorFlow, NLP, React, Python",1,ML Engineer,Tier 1,Kannada,Chennai,0
Candidate_139,Master's,0.9,"Flask, Matplotlib, Python, AWS, Java",5,Frontend Developer,Tier 2,Tamil,Chennai,0
Candidate_140,PhD,0.6,"NumPy, Pandas, AWS",1,ML Engineer,Tier 3,"English, Kannada, Hindi",Bangalore,1
Candidate_141,PhD,8.9,"React, JavaScript, C++, Keras",0,Data Scientist,Tier 3,Tamil,Bangalore,0
Candidate_142,PhD,2.8,"AWS, Python, Deep Learning, Seaborn",5,Backend Developer,Tier 3,"Tamil, English, Kannada",Mumbai,1
Candidate_143,Master's,8.4,"C++, Node.js, Matplotlib",1,Frontend Developer,Tier 2,Tamil,Delhi,0
Candidate_144,Bachelor's,6.9,"React, Python, Machine Learning, Flask, NLP, Java",2,ML Engineer,Tier 3,Kannada,Mumbai,0
Candidate_145,Bachelor's,1.2,"React, C++, AWS",2,Data Analyst,Tier 1,English,Hyderabad,0
Candidate_146,PhD,3.7,"Django, Machine Learning, Node.js",5,Backend Developer,Tier 2,"Tamil, Hindi, Telugu",Hyderabad,0
Candidate_147,PhD,3.2,"Node.js, Flask, AWS, React",2,Frontend Developer,Tier 2,Telugu,Chennai,0
Candidate_148,PhD,3.6,"React, Java, TensorFlow, JavaScript, Node.js, NLP",3,Frontend Developer,Tier 3,"Hindi, Tamil",Pune,0
Candidate_149,PhD,5.5,"C++, Matplotlib, Node.js, Flask, Seaborn",3,Frontend Developer,Tier 1,"Hindi, Telugu, English",Mumbai,0
Candidate_150,PhD,3.2,"Spark, Java, Deep Learning, SQL, NLP, Keras",0,Backend Developer,Tier 2,"English, Hindi",Chennai,0
Candidate_151,Master's,1.6,"Python, Pandas, Spark, Keras",5,ML Engineer,Tier 1,"Tamil, Kannada",Mumbai,0
Candidate_152,PhD,4.0,"Django, Matplotlib, SQL",3,ML Engineer,Tier 3,"Kannada, English",Hyderabad,1
Candidate_153,PhD,1.7,"AWS, Matplotlib, Node.js, JavaScript, Spark",5,Frontend Developer,Tier 1,Tamil,Hyderabad,1
Candidate_154,Master's,4.6,"Pandas, Python, JavaScript, Node.js",1,Frontend Developer,Tier 1,Hindi,Mumbai,0
Candidate_155,Bachelor's,7.2,"Seaborn, NLP, Python, NumPy",1,Frontend Developer,Tier 3,"Telugu, Hindi, Kannada",Pune,0
Candidate_156,Master's,8.3,"SQL, TensorFlow, JavaScript, Deep Learning",1,ML Engineer,Tier 2,"Telugu, Kannada, Tamil",Bangalore,1
Candidate_157,Master's,4.9,"Django, React, AWS",2,Frontend Developer,Tier 1,"Kannada, Telugu, English",Pune,0
Candidate_158,Bachelor's,1.4,"Java, Node.js, Machine Learning, Keras",0,Frontend Developer,Tier 1,"Hindi, Tamil",Chennai,0
Candidate_159,Master's,6.8,"Java, Flask, Keras, React, Matplotlib, Node.js",5,Data Analyst,Tier 2,Tamil,Pune,1
Candidate_160,PhD,1.0,"Python, React, Deep Learning, JavaScript, TensorFlow, Seaborn",3,Data Scientist,Tier 3,"Telugu, English",Chennai,0
Candidate_161,Master's,2.6,"AWS, Pandas, Matplotlib",2,ML Engineer,Tier 3,"English, Hindi",Mumbai,1
Candidate_162,PhD,7.6,"JavaScript, Python, Deep Learning",5,Data Analyst,Tier 3,"Telugu, Kannada, English",Mumbai,0
Candidate_163,Master's,0.4,"Pandas, NLP, Java, Spark, Flask, Node.js",2,Frontend Developer,Tier 1,"Tamil, Hindi, Telugu",Chennai,1
Candidate_164,Master's,0.2,"Machine Learning, Java, SQL, NLP, Spark",4,ML Engineer,Tier 1,"English, Hindi, Tamil",Hyderabad,0
Candidate_165,PhD,4.9,"NLP, Pandas, Django, Matplotlib, Spark",0,Data Scientist,Tier 1,Kannada,Pune,0
Candidate_166,PhD,8.1,"TensorFlow, Matplotlib, C++",2,Frontend Developer,Tier 1,Tamil,Pune,0
Candidate_167,PhD,7.4,"Keras, SQL, Node.js",4,Frontend Developer,Tier 3,"Kannada, Hindi, Tamil",Bangalore,1
Candidate_168,Master's,5.7,"Keras, Flask, React, Spark",4,Data Scientist,Tier 1,"Tamil, Kannada, English",Mumbai,0
Candidate_169,Bachelor's,0.2,"JavaScript, Flask, Spark, Pandas, Deep Learning, Java",1,Backend Developer,Tier 2,English,Delhi,0
Candidate_170,Master's,7.3,"Spark, Keras, Deep Learning, TensorFlow, NumPy, Pandas",4,Data Scientist,Tier 2,"Telugu, Hindi",Mumbai,0
Candidate_171,PhD,5.0,"TensorFlow, Flask, AWS, Java",5,Data Analyst,Tier 3,"Kannada, Tamil",Bangalore,1
Candidate_172,Bachelor's,7.5,"Machine Learning, AWS, Deep Learning, Pandas, Matplotlib",0,Backend Developer,Tier 1,"Tamil, Telugu, Hindi",Bangalore,0
Candidate_173,Master's,5.6,"Django, TensorFlow, Seaborn, JavaScript, Spark, Machine Learning",0,Data Scientist,Tier 1,Kannada,Chennai,0
Candidate_174,Bachelor's,8.6,"Seaborn, Keras, NLP, Node.js, Spark, Pandas",4,Frontend Developer,Tier 2,"English, Tamil, Telugu",Delhi,0
Candidate_175,PhD,3.9,"NumPy, Pandas, Machine Learning, Spark, React, Matplotlib",1,ML Engineer,Tier 3,"Telugu, Hindi",Pune,0
Candidate_176,Bachelor's,3.8,"Keras, AWS, Node.js, Python, Django, C++",4,Data Analyst,Tier 1,"Kannada, Telugu, English",Chennai,0
Candidate_177,PhD,2.5,"C++, NLP, Python, TensorFlow, Node.js, Keras",1,ML Engineer,Tier 1,Telugu,Pune,0
Candidate_178,Bachelor's,3.2,"C++, Python, Node.js, Pandas, Matplotlib",1,Data Analyst,Tier 1,Telugu,Delhi,0
Candidate_179,PhD,1.1,"React, Django, Pandas, C++, Python",5,Data Scientist,Tier 2,"Telugu, Kannada, English",Mumbai,0
Candidate_180,Master's,8.8,"AWS, Seaborn, Python",3,ML Engineer,Tier 1,"Telugu, English",Chennai,1
Candidate_181,Master's,7.2,"Keras, SQL, Spark, JavaScript, Flask, TensorFlow",4,Data Scientist,Tier 2,"Tamil, Hindi",Hyderabad,1
Candidate_182,Master's,2.1,"Deep Learning, C++, Pandas",5,ML Engineer,Tier 2,"Tamil, Telugu",Chennai,1
Candidate_183,Master's,7.0,"AWS, Java, JavaScript, Seaborn, Machine Learning",0,Backend Developer,Tier 3,"Tamil, Kannada",Pune,1
Candidate_184,Bachelor's,5.7,"NumPy, Pandas, Machine Learning, JavaScript, Matplotlib",1,Data Analyst,Tier 2,"Hindi, English",Hyderabad,0
Candidate_185,PhD,3.0,"Flask, NLP, Matplotlib",5,Data Analyst,Tier 3,Tamil,Pune,0
Candidate_186,Bachelor's,5.9,"Matplotlib, NLP, TensorFlow, NumPy, React",4,ML Engineer,Tier 2,English,Chennai,0
Candidate_187,Bachelor's,3.1,"JavaScript, Flask, SQL, Node.js",2,ML Engineer,Tier 3,Kannada,Hyderabad,0
Candidate_188,PhD,2.0,"TensorFlow, SQL, Deep Learning",4,Data Scientist,Tier 3,"Kannada, English, Telugu",Mumbai,0
Candidate_189,PhD,5.2,"Flask, React, Django, Seaborn",5,ML Engineer,Tier 3,"Kannada, Tamil",Bangalore,0
Candidate_190,PhD,1.9,"JavaScript, Matplotlib, Machine Learning",0,Backend Developer,Tier 3,"Telugu, Kannada, English",Delhi,0
Candidate_191,Bachelor's,3.2,"Node.js, NumPy, SQL",3,Data Scientist,Tier 1,"Kannada, Hindi, Tamil",Mumbai,0
Candidate_192,Master's,5.7,"SQL, Pandas, Node.js, Spark, Python, JavaScript",3,Data Analyst,Tier 3,Tamil,Delhi,0
Candidate_193,Master's,5.1,"Flask, Seaborn, Django, Deep Learning, AWS",5,Data Analyst,Tier 3,"English, Hindi",Mumbai,0
Candidate_194,Bachelor's,3.2,"NumPy, React, Spark, C++, Keras, Deep Learning",2,Data Scientist,Tier 2,"Kannada, Hindi",Hyderabad,1
Candidate_195,Bachelor's,7.6,"Machine Learning, Matplotlib, AWS, Deep Learning",4,ML Engineer,Tier 2,"Hindi, Kannada, Telugu",Hyderabad,0
Candidate_196,Bachelor's,7.7,"React, AWS, Deep Learning, Matplotlib",3,Data Analyst,Tier 3,"Hindi, Tamil",Mumbai,1
Candidate_197,Master's,3.7,"Deep Learning, NLP, AWS, Pandas, Machine Learning",3,Data Analyst,Tier 2,Telugu,Bangalore,0
Candidate_198,Master's,3.5,"Pandas, Flask, Python, Node.js",1,Frontend Developer,Tier 2,Tamil,Mumbai,0
